layer_index,family_id,cosine_to_all8_mean_direction,cosine_to_leave_one_out_mean_direction
4,policy_library_checkout_003,0.9474408030509949,0.9295696020126343
4,policy_lunch_pass_001,0.9560032486915588,0.9416687488555908
4,policy_rec_center_004,0.9354512095451355,0.9159290194511414
4,__summary__,0.9440870583057404,0.9265559911727905
5,finance_budget_007,0.9471182227134705,0.9313704967498779
5,finance_coupon_006,0.9615823030471802,0.9494772553443909
5,finance_membership_008,0.9490698575973511,0.9324233531951904
5,finance_refund_005,0.950518012046814,0.9345489144325256
5,policy_lab_access_002,0.9417591691017151,0.9248272180557251
5,policy_library_checkout_003,0.9553115963935852,0.9399343729019165
5,policy_lunch_pass_001,0.9625633955001831,0.9509379267692566
5,policy_rec_center_004,0.9396891593933105,0.9214385747909546
5,__summary__,0.9509514644742012,0.9356197640299797
6,finance_budget_007,0.9472590684890747,0.9318987131118774
6,finance_coupon_006,0.9702517986297607,0.9608408212661743
6,finance_membership_008,0.9581576585769653,0.9446353912353516
6,finance_refund_005,0.9569394588470459,0.9431542754173279
6,policy_lab_access_002,0.9435991048812866,0.9269217252731323
6,policy_library_checkout_003,0.956911563873291,0.9427000284194946
6,policy_lunch_pass_001,0.9626049995422363,0.950586199760437
6,policy_rec_center_004,0.939693808555603,0.9211397767066956
6,__summary__,0.954427182674408,0.9402346163988113
7,finance_budget_007,0.9485897421836853,0.9328962564468384
7,finance_coupon_006,0.9639308452606201,0.9528477191925049
7,finance_membership_008,0.9517740607261658,0.9362099170684814
7,finance_refund_005,0.9467064738273621,0.930305004119873
7,policy_lab_access_002,0.9251348972320557,0.9028488993644714
7,policy_library_checkout_003,0.9578391909599304,0.9442809224128723
7,policy_lunch_pass_001,0.9684785008430481,0.9581702351570129
7,policy_rec_center_004,0.9511503577232361,0.9355473518371582
7,__summary__,0.9517005085945129,0.9366382881999016
8,finance_budget_007,0.9486261606216431,0.9329543113708496
8,finance_coupon_006,0.9731261134147644,0.9644874930381775
8,finance_membership_008,0.9450099468231201,0.9268834590911865
8,finance_refund_005,0.924328088760376,0.8986014127731323
8,policy_lab_access_002,0.9369305968284607,0.9187692999839783
8,policy_library_checkout_003,0.9683821797370911,0.9586105942726135
8,policy_lunch_pass_001,0.9746030569076538,0.9667269587516785
8,policy_rec_center_004,0.9378073215484619,0.9187002778053284
8,__summary__,0.9511016830801964,0.9357167258858681
9,finance_budget_007,0.9545431137084961,0.9401994943618774
9,finance_coupon_006,0.9642263054847717,0.9526236057281494
9,finance_membership_008,0.9501375555992126,0.934224009513855
9,finance_refund_005,0.921310305595398,0.8959843516349792
9,policy_lab_access_002,0.9344339370727539,0.9150415658950806
9,policy_library_checkout_003,0.9658300280570984,0.9555464386940002
9,policy_lunch_pass_001,0.9744007587432861,0.966454267501831
9,policy_rec_center_004,0.940509557723999,0.9213300943374634
9,__summary__,0.950673945248127,0.9351754784584045
10,finance_budget_007,0.9525845646858215,0.93794846534729
10,finance_coupon_006,0.9593449234962463,0.9465318322181702
10,finance_membership_008,0.9430279731750488,0.9240826964378357
10,finance_refund_005,0.9144859910011292,0.8880205750465393
10,policy_lab_access_002,0.9340811967849731,0.9148659706115723
10,policy_library_checkout_003,0.965185821056366,0.9544493556022644
10,policy_lunch_pass_001,0.9727936387062073,0.9644082188606262
10,policy_rec_center_004,0.9354397058486938,0.9133861064910889
10,__summary__,0.9471179768443108,0.9304616525769234
11,finance_budget_007,0.951808750629425,0.9370954632759094
11,finance_coupon_006,0.9586393237113953,0.9453392028808594
11,finance_membership_008,0.940254807472229,0.9205178618431091
11,finance_refund_005,0.9132097959518433,0.8859957456588745
11,policy_lab_access_002,0.9331774115562439,0.9138191938400269
11,policy_library_checkout_003,0.9615201950073242,0.9494078755378723
11,policy_lunch_pass_001,0.9743139743804932,0.9663358926773071
11,policy_rec_center_004,0.9282031655311584,0.9043600559234619
11,__summary__,0.945140928030014,0.9278589114546776
12,finance_budget_007,0.9494549632072449,0.9332794547080994
