analysis_kind,metric_name,layer_index,all_8_families_mean,all_8_families_median,excluding_policy_library_checkout_003_mean,excluding_policy_library_checkout_003_median,policy_library_checkout_003_alone_mean,policy_library_checkout_003_alone_median
delta_norm,false_pressure_delta,6,3.2382148802280426,3.2630800008773804,3.218787499836513,3.234156847000122,3.37420654296875,3.37420654296875
delta_norm,true_pressure_delta,6,3.3242195546627045,3.3452600240707397,3.3390049593789235,3.3514034748077393,3.22072172164917,3.22072172164917
delta_norm,closed_context_delta,7,6.813299655914307,6.786908864974976,6.8580891745431085,6.8138041496276855,6.499773025512695,6.499773025512695
delta_norm,distractor_delta,7,4.905287683010101,4.970538139343262,4.925353935786656,4.998940467834473,4.764823913574219,4.764823913574219
delta_norm,emotional_pressure_delta,7,4.195192128419876,4.2042624950408936,4.198286158697946,4.209887981414795,4.173533916473389,4.173533916473389
delta_norm,false_pressure_delta,7,4.343441486358643,4.351681232452393,4.332786696297782,4.29128360748291,4.418025016784668,4.418025016784668
delta_norm,true_pressure_delta,7,4.402019917964935,4.4338297843933105,4.42695461000715,4.463712692260742,4.227477073669434,4.227477073669434
delta_norm,closed_context_delta,8,9.328068971633911,9.309317111968994,9.378315244402204,9.334259986877441,8.97634506225586,8.97634506225586
delta_norm,distractor_delta,8,7.3296560645103455,7.376121520996094,7.321236678532192,7.36460018157959,7.388591766357422,7.388591766357422
delta_norm,emotional_pressure_delta,8,7.078713536262512,7.041743278503418,7.065843854631696,6.9970221519470215,7.168801307678223,7.168801307678223
delta_norm,false_pressure_delta,8,6.794580161571503,6.691490888595581,6.816860130855015,6.7338666915893555,6.638620376586914,6.638620376586914
delta_norm,true_pressure_delta,8,6.461045026779175,6.4962828159332275,6.497817856924875,6.503643989562988,6.203635215759277,6.203635215759277
delta_norm,closed_context_delta,9,14.838409185409546,14.791304588317871,14.876957212175641,14.874831199645996,14.568572998046875,14.568572998046875
delta_norm,distractor_delta,9,10.625479340553284,10.721291065216064,10.58621883392334,10.643477439880371,10.90030288696289,10.90030288696289
delta_norm,emotional_pressure_delta,9,10.99499499797821,10.783174991607666,10.937905447823661,10.632761001586914,11.394621849060059,11.394621849060059
delta_norm,false_pressure_delta,9,10.481949925422668,10.567935943603516,10.546269416809082,10.631861686706543,10.031713485717773,10.031713485717773
delta_norm,true_pressure_delta,9,10.044339895248413,10.041524410247803,10.119048936026436,10.200586318969727,9.521376609802246,9.521376609802246
delta_norm,closed_context_delta,10,19.48689365386963,19.38117504119873,19.504500525338308,19.398704528808594,19.363645553588867,19.363645553588867
delta_norm,distractor_delta,10,13.838595509529114,13.861447811126709,13.754326956612724,13.857171058654785,14.428475379943848,14.428475379943848
delta_norm,emotional_pressure_delta,10,13.424495100975037,13.435582637786865,13.340417725699288,13.307563781738281,14.013036727905273,14.013036727905273
delta_norm,false_pressure_delta,10,12.990699529647827,12.83461856842041,13.040460177830287,12.917197227478027,12.642374992370605,12.642374992370605
delta_norm,true_pressure_delta,10,12.529494047164917,12.368087768554688,12.599534579685756,12.45333480834961,12.039210319519043,12.039210319519043
delta_norm,closed_context_delta,11,23.865970134735107,23.85029125213623,23.86765616280692,23.84641456604004,23.854167938232422,23.854167938232422
delta_norm,distractor_delta,11,16.676886200904846,16.608821868896484,16.536058289664133,16.552555084228516,17.662681579589844,17.662681579589844
delta_norm,emotional_pressure_delta,11,16.368453860282898,16.489669799804688,16.218116896493093,16.259328842163086,17.420812606811523,17.420812606811523
delta_norm,false_pressure_delta,11,16.203588366508484,16.196279525756836,16.22694492340088,16.352466583251953,16.04009246826172,16.04009246826172
delta_norm,true_pressure_delta,11,15.790667176246643,15.719964027404785,15.834240640912737,15.952628135681152,15.485652923583984,15.485652923583984
delta_norm,closed_context_delta,12,29.31888723373413,29.366243362426758,29.26084954398019,29.033950805664062,29.72515106201172,29.72515106201172
delta_norm,distractor_delta,12,19.879181623458862,19.76535701751709,19.722811562674387,19.711956024169922,20.973772048950195,20.973772048950195
delta_norm,emotional_pressure_delta,12,20.28329563140869,19.876434326171875,20.12067767551967,19.874038696289062,21.421621322631836,21.421621322631836
delta_norm,false_pressure_delta,12,20.86547088623047,20.85341167449951,20.876461574009486,20.91828727722168,20.788536071777344,20.788536071777344
delta_norm,true_pressure_delta,12,20.72397756576538,20.53670024871826,20.78483990260533,20.57046127319336,20.297941207885742,20.297941207885742
delta_norm,closed_context_delta,13,36.531461238861084,36.251060485839844,36.36462674822126,36.20292282104492,37.699302673339844,37.699302673339844
delta_norm,distractor_delta,13,23.696223497390747,23.762337684631348,23.484718322753906,23.554885864257812,25.176759719848633,25.176759719848633
delta_norm,emotional_pressure_delta,13,24.71727967262268,24.427197456359863,24.52222224644252,24.098783493041992,26.08268165588379,26.08268165588379
delta_norm,false_pressure_delta,13,26.699478149414062,26.717615127563477,26.745667048863,26.721433639526367,26.376155853271484,26.376155853271484
delta_norm,true_pressure_delta,13,26.36211585998535,26.122889518737793,26.421756471906388,26.20823860168457,25.944631576538086,25.944631576538086
delta_norm,closed_context_delta,14,43.999462604522705,44.22118949890137,43.781460353306365,43.784950256347656,45.52547836303711,45.52547836303711
delta_norm,distractor_delta,14,28.638470888137817,27.8259334564209,28.377905436924525,27.681987762451172,30.46242904663086,30.46242904663086
delta_norm,emotional_pressure_delta,14,28.945319414138794,29.11115264892578,28.8164918082101,28.377084732055664,29.84711265563965,29.84711265563965
delta_norm,false_pressure_delta,14,30.808549880981445,30.7919921875,30.87101173400879,31.148242950439453,30.37131690979004,30.37131690979004
delta_norm,true_pressure_delta,14,30.493879079818726,30.105732917785645,30.554993220738,30.1453857421875,30.06608009338379,30.06608009338379
delta_norm,closed_context_delta,15,53.56165266036987,53.16735649108887,53.484300885881694,52.231597900390625,54.10311508178711,54.10311508178711
delta_norm,distractor_delta,15,35.222801208496094,34.581085205078125,34.962027413504465,34.462371826171875,37.0482177734375,37.0482177734375
delta_norm,emotional_pressure_delta,15,36.26723909378052,36.14463996887207,36.18622589111328,35.45494842529297,36.83433151245117,36.83433151245117
delta_norm,false_pressure_delta,15,38.44035053253174,38.52279090881348,38.48856571742466,38.65913009643555,38.10284423828125,38.10284423828125
delta_norm,true_pressure_delta,15,39.02491044998169,39.05638122558594,39.27239499773298,39.11317443847656,37.292518615722656,37.292518615722656
delta_norm,closed_context_delta,16,71.07821655273438,68.60391998291016,71.55438450404576,68.8950424194336,67.74504089355469,67.74504089355469
delta_norm,distractor_delta,16,44.87686824798584,44.1069221496582,44.536607469831196,43.60956573486328,47.25869369506836,47.25869369506836
