layer_index,layer_bucket,delta_type,n_families,mean_cosine_to_leave_one_out_mean_direction,median_cosine_to_leave_one_out_mean_direction,std_cosine_to_leave_one_out_mean_direction,min_cosine_to_leave_one_out_mean_direction,max_cosine_to_leave_one_out_mean_direction
32,late,emotional_pressure_delta,36,0.877176562945048,0.8942497372627258,0.07564155698154813,0.5335721373558044,0.9420034289360046
32,late,closed_context_delta,36,0.798368728823132,0.8294460773468018,0.10629778873853081,0.36556196212768555,0.8966783285140991
33,late,false_pressure_delta,36,0.8124679492579566,0.8284464776515961,0.0813396048984138,0.5377387404441833,0.9033904671669006
33,late,emotional_pressure_delta,36,0.8778521286116706,0.8974342048168182,0.07559206546367431,0.5377911329269409,0.9426285028457642
33,late,closed_context_delta,36,0.8153257510728307,0.8456660807132721,0.0989131927006427,0.41751351952552795,0.9085090756416321
34,late,false_pressure_delta,36,0.8420923517809974,0.863102376461029,0.07066095520292051,0.6299662590026855,0.9185494780540466
34,late,emotional_pressure_delta,36,0.8928006241718928,0.9076051414012909,0.06699141694379585,0.6013578176498413,0.948919415473938
34,late,closed_context_delta,36,0.8397715853320228,0.864251047372818,0.08522989165050765,0.5054352283477783,0.9170956611633301
35,late,false_pressure_delta,36,0.8476621756951014,0.8672747015953064,0.07508820121085723,0.6422095894813538,0.9251290559768677
35,late,emotional_pressure_delta,36,0.8941211236847771,0.907748281955719,0.06348448951167854,0.6465245485305786,0.9515527486801147
35,late,closed_context_delta,36,0.8515830487012863,0.8727051019668579,0.07386811994523632,0.6162972450256348,0.9340935349464417
