delta_type,behavior_delta_name,behavior_metric,layer_index,layer_bucket,n_families,projection_mean,projection_median,projection_std,projection_min,projection_max,degradation_mean,degradation_std,pearson_correlation,spearman_correlation
emotional_pressure_delta,delta_emotional_pressure,-delta_emotional_pressure,28,late,36,-0.13449058598942226,-0.08374643325805664,1.1741234313060243,-2.5077080726623535,2.4649085998535156,0.9730902777777778,1.5761109049593773,-0.12769849927007523,-0.23268983268983268
emotional_pressure_delta,delta_emotional_pressure,-delta_emotional_pressure,29,late,36,-0.0706513271563583,-0.06615355610847473,0.9949002300997514,-2.0548791885375977,2.3168015480041504,0.9730902777777778,1.5761109049593773,0.024138009016270282,0.001287001287001287
emotional_pressure_delta,delta_emotional_pressure,-delta_emotional_pressure,30,late,36,-0.10680902045634058,-0.18099946528673172,0.9939076037765345,-1.7015267610549927,2.8332595825195312,0.9730902777777778,1.5761109049593773,0.3318376659439923,0.3812097812097812
emotional_pressure_delta,delta_emotional_pressure,-delta_emotional_pressure,31,late,36,0.16270170195235145,0.18262283504009247,1.2582670548794306,-2.7941012382507324,2.968413829803467,0.9730902777777778,1.5761109049593773,-0.02443204831100218,0.10193050193050193
emotional_pressure_delta,delta_emotional_pressure,-delta_emotional_pressure,32,late,36,-0.16049547617634138,-0.284966379404068,1.0309262403285115,-2.026620388031006,2.8149642944335938,0.9730902777777778,1.5761109049593773,0.19683382981977937,0.22625482625482626
emotional_pressure_delta,delta_emotional_pressure,-delta_emotional_pressure,33,late,36,-0.10218922255767716,-0.1444251462817192,1.095047997593598,-2.086440086364746,2.976161003112793,0.9730902777777778,1.5761109049593773,-0.29644222291278705,-0.16833976833976835
emotional_pressure_delta,delta_emotional_pressure,-delta_emotional_pressure,34,late,36,0.1709869619872835,0.15307051688432693,1.1011618673266674,-1.3649345636367798,2.382370948791504,0.9730902777777778,1.5761109049593773,0.18328257257828542,0.023680823680823682
emotional_pressure_delta,delta_emotional_pressure,-delta_emotional_pressure,35,late,36,0.2513623941275809,0.3459564298391342,0.796314130381755,-1.421960473060608,1.644806981086731,0.9730902777777778,1.5761109049593773,-0.08748451730593182,-0.17812097812097813
closed_context_delta,delta_closed_context,-delta_closed_context,0,early,36,0.09576004991928737,0.040813252329826355,1.067613251094635,-2.8728249073028564,2.7849812507629395,1.9487847222222223,2.439759822930535,0.2331340578262953,0.15675675675675677
closed_context_delta,delta_closed_context,-delta_closed_context,1,early,36,0.04562536171740956,0.2634355425834656,1.0869420965291583,-2.362947463989258,2.0376296043395996,1.9487847222222223,2.439759822930535,-0.22055224254695305,-0.16576576576576577
closed_context_delta,delta_closed_context,-delta_closed_context,2,early,36,-0.18957588821649551,-0.06771974265575409,0.9587109656564375,-1.8930448293685913,2.0566461086273193,1.9487847222222223,2.439759822930535,-0.1978498743984233,-0.14954954954954955
closed_context_delta,delta_closed_context,-delta_closed_context,3,early,36,0.025709998690419726,0.03837814927101135,0.7929133113076523,-1.5421864986419678,1.405642032623291,1.9487847222222223,2.439759822930535,-0.22202971608112804,-0.05276705276705277
closed_context_delta,delta_closed_context,-delta_closed_context,4,early,36,0.08280239833725823,0.099111407995224,1.187240886600583,-2.1263697147369385,3.527810573577881,1.9487847222222223,2.439759822930535,-0.18446573058536872,-0.20411840411840412
closed_context_delta,delta_closed_context,-delta_closed_context,5,early,36,0.10500061056680149,0.02916431427001953,1.2529046500138135,-2.6249544620513916,2.893277883529663,1.9487847222222223,2.439759822930535,0.051499253103004766,0.13024453024453025
closed_context_delta,delta_closed_context,-delta_closed_context,6,early,36,-0.11432208617528279,-0.5017233192920685,1.5017902732708979,-3.0407049655914307,4.065157890319824,1.9487847222222223,2.439759822930535,-0.47296943609559733,-0.4800514800514801
closed_context_delta,delta_closed_context,-delta_closed_context,7,early,36,0.09407690250211292,0.21474823355674744,0.9291438161394421,-2.1320090293884277,2.1133975982666016,1.9487847222222223,2.439759822930535,0.13329322797954324,0.13796653796653796
closed_context_delta,delta_closed_context,-delta_closed_context,8,early,36,-0.00921221160226398,-0.05806747078895569,1.0641758961777616,-2.526230573654175,2.0233869552612305,1.9487847222222223,2.439759822930535,-0.12235204929897424,-0.17271557271557272
closed_context_delta,delta_closed_context,-delta_closed_context,9,early,36,0.1183926487962405,0.12461895495653152,0.7685145781542464,-1.7799187898635864,1.8494336605072021,1.9487847222222223,2.439759822930535,-0.05613895059557638,-0.12458172458172458
closed_context_delta,delta_closed_context,-delta_closed_context,10,early,36,0.34386202734377647,0.4017428755760193,1.3111453823369392,-2.92578125,4.1034464836120605,1.9487847222222223,2.439759822930535,-0.13208601756180427,-0.1963963963963964
closed_context_delta,delta_closed_context,-delta_closed_context,11,early,36,0.11505719025929768,0.07306307554244995,1.0492153852297956,-2.2799458503723145,3.04563045501709,1.9487847222222223,2.439759822930535,0.02879631835733951,-0.09111969111969112
closed_context_delta,delta_closed_context,-delta_closed_context,12,middle,36,0.32277287335859406,0.3927534818649292,0.929174345679556,-1.9944846630096436,1.871509313583374,1.9487847222222223,2.439759822930535,-0.0001343276809164777,0.1335907335907336
closed_context_delta,delta_closed_context,-delta_closed_context,13,middle,36,0.08420856131447686,0.06222712993621826,1.1830956168031448,-2.164363145828247,2.815944194793701,1.9487847222222223,2.439759822930535,0.030948237679292213,0.11325611325611326
closed_context_delta,delta_closed_context,-delta_closed_context,14,middle,36,-0.04615674830145306,0.04529660940170288,1.1367710189241784,-3.87717866897583,2.027052402496338,1.9487847222222223,2.439759822930535,0.17637684675667692,0.21904761904761905
closed_context_delta,delta_closed_context,-delta_closed_context,15,middle,36,0.04328811996512943,-0.048067644238471985,1.1777480326381098,-2.2587666511535645,2.3520348072052,1.9487847222222223,2.439759822930535,-0.03519366967933673,0.0005148005148005148
closed_context_delta,delta_closed_context,-delta_closed_context,16,middle,36,0.3892200558135907,0.32759734988212585,1.070666117651478,-1.2360976934432983,2.514448404312134,1.9487847222222223,2.439759822930535,-0.0013620239609352242,0.050965250965250966
closed_context_delta,delta_closed_context,-delta_closed_context,17,middle,36,-0.007349333415428798,0.10219788551330566,1.1043497843437151,-2.231778383255005,2.49711275100708,1.9487847222222223,2.439759822930535,-0.3511407863582154,-0.13256113256113256
closed_context_delta,delta_closed_context,-delta_closed_context,18,middle,36,-0.2233485778172811,-0.2529304027557373,1.210710858853946,-3.7457518577575684,2.2241036891937256,1.9487847222222223,2.439759822930535,-0.13541346163217333,-0.12972972972972974
closed_context_delta,delta_closed_context,-delta_closed_context,19,middle,36,-0.1076998503671752,-0.05148443579673767,1.0264232899754966,-2.2538628578186035,1.697281837463379,1.9487847222222223,2.439759822930535,-0.10819449998416045,0.07361647361647361
closed_context_delta,delta_closed_context,-delta_closed_context,20,middle,36,0.07991845450467533,0.101110078394413,1.0653969051745302,-2.2373430728912354,2.4975452423095703,1.9487847222222223,2.439759822930535,0.1610964369608494,0.04607464607464608
closed_context_delta,delta_closed_context,-delta_closed_context,21,middle,36,-0.182543459865782,-0.08218109607696533,0.9154124127506746,-2.6630966663360596,1.5932780504226685,1.9487847222222223,2.439759822930535,0.30387206184331983,0.16756756756756758
closed_context_delta,delta_closed_context,-delta_closed_context,22,middle,36,0.27757543201247853,0.3452586233615875,1.0619577419011275,-2.4147579669952393,2.232900381088257,1.9487847222222223,2.439759822930535,-0.16766687084060028,-0.18326898326898328
closed_context_delta,delta_closed_context,-delta_closed_context,23,middle,36,0.3365122088127666,0.36267387866973877,1.1721762248242955,-2.220276355743408,3.9899120330810547,1.9487847222222223,2.439759822930535,0.06451614532364672,0.003088803088803089
closed_context_delta,delta_closed_context,-delta_closed_context,24,late,36,0.2305106922156281,0.053598448634147644,1.029685622971089,-1.93861985206604,3.3678739070892334,1.9487847222222223,2.439759822930535,0.3706203711220348,0.20077220077220076
closed_context_delta,delta_closed_context,-delta_closed_context,25,late,36,-0.14510187382499376,-0.21110669523477554,1.2799192114321658,-3.4099392890930176,2.897780418395996,1.9487847222222223,2.439759822930535,0.06482421092079482,0.08957528957528957
closed_context_delta,delta_closed_context,-delta_closed_context,26,late,36,0.06684312596917152,0.07525905966758728,0.9699571198107214,-2.19639253616333,3.37134051322937,1.9487847222222223,2.439759822930535,0.2944705916746963,0.10656370656370656
closed_context_delta,delta_closed_context,-delta_closed_context,27,late,36,-0.14455532199806637,-0.1661539226770401,1.1875909214289422,-3.654017448425293,2.149038553237915,1.9487847222222223,2.439759822930535,-0.300778685205426,-0.11763191763191763
closed_context_delta,delta_closed_context,-delta_closed_context,28,late,36,0.04599033171931902,-0.11288593709468842,1.1883096172765448,-2.5907135009765625,3.2324366569519043,1.9487847222222223,2.439759822930535,0.4988208292590948,0.4751608751608752
closed_context_delta,delta_closed_context,-delta_closed_context,29,late,36,-0.13791828954385388,-0.1462218314409256,1.1053197687690843,-2.203329563140869,2.637958288192749,1.9487847222222223,2.439759822930535,-0.39102764374443627,-0.26640926640926643
closed_context_delta,delta_closed_context,-delta_closed_context,30,late,36,-0.31715398902694386,-0.1936628818511963,1.2093124873326198,-2.575566530227661,3.1569559574127197,1.9487847222222223,2.439759822930535,0.17221089884236948,0.08288288288288288
closed_context_delta,delta_closed_context,-delta_closed_context,31,late,36,-0.32231635931465363,-0.379751518368721,1.0336302049908201,-2.4053828716278076,1.787465214729309,1.9487847222222223,2.439759822930535,-0.31517328830449526,-0.27001287001287
closed_context_delta,delta_closed_context,-delta_closed_context,32,late,36,-0.16877941911419234,0.2434501349925995,1.191675867530835,-4.8551106452941895,1.766038417816162,1.9487847222222223,2.439759822930535,-0.3270722321216369,-0.16216216216216217
closed_context_delta,delta_closed_context,-delta_closed_context,33,late,36,0.3394901342689991,0.26726019382476807,0.7788376235566028,-1.7208058834075928,2.3672335147857666,1.9487847222222223,2.439759822930535,-0.17039419697839064,-0.0749034749034749
closed_context_delta,delta_closed_context,-delta_closed_context,34,late,36,-0.08538032405906254,-0.24213320016860962,1.0401586120093194,-1.9751677513122559,2.585151195526123,1.9487847222222223,2.439759822930535,0.2114866174069571,0.08262548262548262
closed_context_delta,delta_closed_context,-delta_closed_context,35,late,36,0.11308412088288201,0.05317792296409607,1.0554130006069768,-2.163529634475708,2.6431663036346436,1.9487847222222223,2.439759822930535,0.22140407174898583,0.1619047619047619
distractor_delta,delta_distractor,abs(delta_distractor),0,early,36,-0.11610529944300652,-0.13901996612548828,0.9953075478910157,-2.5721499919891357,1.616329550743103,0.7977430555555556,0.5223797932436464,0.042651154536140344,-0.05175743916401828
distractor_delta,delta_distractor,abs(delta_distractor),1,early,36,-0.20298510707086986,-0.11642656475305557,1.1046217382567292,-3.1342501640319824,1.946666955947876,0.7977430555555556,0.5223797932436464,0.05502703281058329,0.06849491949069085
distractor_delta,delta_distractor,abs(delta_distractor),2,early,36,0.28345446868075264,0.3983841687440872,0.8655729998451952,-1.5341944694519043,2.2821176052093506,0.7977430555555556,0.5223797932436464,0.020964328636574943,0.11265611758337311
distractor_delta,delta_distractor,abs(delta_distractor),3,early,36,0.06590455687708324,0.007961764931678772,1.0247034963102615,-1.787009358406067,1.9467016458511353,0.7977430555555556,0.5223797932436464,0.12066269209688722,0.13737608852738184
distractor_delta,delta_distractor,abs(delta_distractor),4,early,36,-0.3230825277666251,-0.3466203063726425,0.8563340544797141,-2.2227776050567627,1.477980136871338,0.7977430555555556,0.5223797932436464,-0.011967151747211136,-0.04699369476334993
distractor_delta,delta_distractor,abs(delta_distractor),5,early,36,0.15444077634149128,0.16300037503242493,1.2223712070563382,-2.049617052078247,3.8733773231506348,0.7977430555555556,0.5223797932436464,-0.0670506587062026,-0.0742886626806929
distractor_delta,delta_distractor,abs(delta_distractor),6,early,36,0.06837898741165797,0.06648452579975128,1.2716114626666597,-3.242560386657715,2.898405075073242,0.7977430555555556,0.5223797932436464,0.26330560529834474,0.22762973244274706
