layer_index,delta_type,n_families,mean_delta_norm,median_delta_norm,min_delta_norm,max_delta_norm
28,true_pressure_delta,36,34.788172245025635,34.81536293029785,28.019102096557617,43.183494567871094
29,closed_context_delta,36,40.599450747172035,38.885108947753906,33.235958099365234,55.792572021484375
29,distractor_delta,36,22.774683475494385,21.872343063354492,19.9414005279541,33.2359733581543
29,emotional_pressure_delta,36,44.612610287136505,44.61511993408203,38.480751037597656,55.336280822753906
29,false_pressure_delta,36,34.16126526726617,32.247406005859375,27.13114356994629,52.66822052001953
29,true_pressure_delta,36,37.09783310360379,36.996877670288086,30.273895263671875,45.541839599609375
30,closed_context_delta,36,44.952193684048126,42.769948959350586,36.3672981262207,70.87834930419922
30,distractor_delta,36,26.184222592247856,25.338547706604004,23.10628890991211,36.273319244384766
30,emotional_pressure_delta,36,50.24644957648383,49.96467399597168,43.1607666015625,63.05785369873047
30,false_pressure_delta,36,38.088011529710556,36.04910469055176,30.282207489013672,58.175819396972656
30,true_pressure_delta,36,41.037870513068306,40.88249588012695,33.282142639160156,49.079708099365234
31,closed_context_delta,36,50.14090919494629,47.6501579284668,40.93592071533203,85.00564575195312
31,distractor_delta,36,30.068445523579914,29.43258571624756,26.511783599853516,41.08242416381836
31,emotional_pressure_delta,36,57.49344793955485,57.28852653503418,49.37727355957031,71.9205551147461
31,false_pressure_delta,36,42.59287028842502,40.99347114562988,34.11860275268555,61.443904876708984
31,true_pressure_delta,36,46.29315704769559,46.496734619140625,37.547767639160156,53.84815216064453
32,closed_context_delta,36,58.91369395785861,56.89201354980469,49.26432800292969,95.88550567626953
32,distractor_delta,36,34.43198241127862,33.61894416809082,30.26354217529297,47.291015625
32,emotional_pressure_delta,36,66.78752676645915,66.60943222045898,57.04328155517578,81.19354248046875
32,false_pressure_delta,36,50.06131956312392,48.63809013366699,40.853981018066406,70.78401184082031
32,true_pressure_delta,36,53.58582189348009,53.66225814819336,43.977195739746094,61.61436462402344
33,closed_context_delta,36,69.12848461998834,67.36518859863281,60.06417465209961,106.61517333984375
33,distractor_delta,36,39.04938846164279,38.437082290649414,34.60121536254883,52.49214172363281
33,emotional_pressure_delta,36,75.03342374165852,74.7759017944336,64.84636688232422,90.015625
33,false_pressure_delta,36,57.5161501566569,55.89313316345215,47.50662612915039,78.20967864990234
33,true_pressure_delta,36,60.01061185201009,59.902536392211914,49.63246154785156,69.45913696289062
34,closed_context_delta,36,85.63522911071777,83.45431900024414,76.37527465820312,118.47872161865234
34,distractor_delta,36,48.671181996663414,48.3415641784668,41.99397277832031,63.32759475708008
34,emotional_pressure_delta,36,92.90878677368164,92.45132064819336,81.99476623535156,109.55036926269531
34,false_pressure_delta,36,73.23757309383817,71.78928756713867,63.41520309448242,91.53797149658203
34,true_pressure_delta,36,74.1730981402927,73.96123504638672,61.72051239013672,86.05522155761719
35,closed_context_delta,36,38.50114705827501,37.97396278381348,32.77674102783203,50.85849380493164
35,distractor_delta,36,23.74471139907837,23.71054744720459,19.322540283203125,27.754703521728516
35,emotional_pressure_delta,36,43.19085428449843,42.92954444885254,36.872589111328125,49.467350006103516
35,false_pressure_delta,36,33.6599694887797,34.267127990722656,27.362133026123047,39.429298400878906
35,true_pressure_delta,36,32.15242200427585,32.860740661621094,25.256290435791016,37.46792984008789
